step,split,value
1,train,10.948745727539062
2,train,10.905424118041992
3,train,10.811755180358887
4,train,10.687925338745117
5,train,10.550564765930176
6,train,10.41420841217041
7,train,10.280230522155762
8,train,10.175859451293945
9,train,10.083629608154297
10,train,9.987868309020996
11,train,9.908612251281738
12,train,9.85733413696289
13,train,9.790658950805664
14,train,9.738618850708008
15,train,9.70832633972168
16,train,9.690258026123047
17,train,9.644323348999023
18,train,9.61972713470459
19,train,9.61392593383789
20,train,9.568941116333008
21,train,9.56936264038086
22,train,9.52746868133545
23,train,9.532115936279297
24,train,9.473904609680176
25,train,9.441271781921387
26,train,9.42880630493164
27,train,9.385207176208496
28,train,9.362882614135742
29,train,9.31603717803955
30,train,9.295469284057617
31,train,9.25640869140625
32,train,9.210371971130371
33,train,9.175505638122559
34,train,9.154271125793457
35,train,9.119755744934082
36,train,9.072371482849121
37,train,9.046196937561035
38,train,9.015948295593262
39,train,8.957986831665039
40,train,8.935853004455566
41,train,8.893712997436523
42,train,8.858591079711914
43,train,8.84339714050293
44,train,8.776922225952148
45,train,8.750457763671875
46,train,8.722339630126953
47,train,8.670761108398438
48,train,8.660348892211914
49,train,8.610450744628906
50,train,8.580900192260742
51,train,8.557928085327148
52,train,8.491512298583984
53,train,8.467863082885742
54,train,8.44223690032959
55,train,8.406842231750488
56,train,8.383170127868652
57,train,8.303325653076172
58,train,8.325179100036621
59,train,8.273326873779297
60,train,8.22197151184082
61,train,8.204951286315918
62,train,8.159551620483398
63,train,8.135717391967773
64,train,8.065938949584961
65,train,8.050016403198242
66,train,8.018187522888184
67,train,7.979648590087891
68,train,7.922715187072754
69,train,7.919558525085449
70,train,7.8926286697387695
71,train,7.858183860778809
72,train,7.836167812347412
73,train,7.789255619049072
74,train,7.7696757316589355
75,train,7.734107494354248
76,train,7.70906925201416
77,train,7.67232084274292
78,train,7.639759540557861
79,train,7.604959487915039
80,train,7.563765525817871
81,train,7.550034046173096
82,train,7.517179489135742
83,train,7.4794602394104
84,train,7.469001770019531
85,train,7.443709373474121
86,train,7.422186851501465
87,train,7.371086120605469
88,train,7.33282470703125
89,train,7.315011978149414
90,train,7.331401348114014
91,train,7.287878513336182
92,train,7.2734832763671875
93,train,7.277097702026367
94,train,7.242870807647705
95,train,7.245571136474609
96,train,7.205229759216309
97,train,7.137831211090088
98,train,7.184922695159912
99,train,7.170712471008301
100,train,7.113617897033691
100,val,7.144055366516113
100,hellaswag,0.24417446723760208
101,train,7.097087860107422
102,train,7.134494781494141
103,train,7.08620023727417
104,train,7.053434371948242
105,train,7.07919979095459
106,train,7.031363010406494
107,train,7.066565990447998
108,train,7.022322654724121
109,train,7.031833648681641
110,train,7.007763862609863
111,train,7.007112503051758
112,train,6.9735798835754395
113,train,6.986482620239258
114,train,6.942936420440674
115,train,6.932515621185303
116,train,6.920385360717773
117,train,6.875324249267578
118,train,6.914938926696777
119,train,6.839508533477783
120,train,6.874023914337158
121,train,6.860180854797363
122,train,6.849001884460449
123,train,6.832735061645508
124,train,6.8202009201049805
125,train,6.782428741455078
126,train,6.795259475708008
127,train,6.806553840637207
128,train,6.789205551147461
129,train,6.7817277908325195
130,train,6.779958724975586
131,train,6.743154525756836
132,train,6.771275997161865
133,train,6.71019172668457
134,train,6.745874881744385
135,train,6.714351654052734
136,train,6.6998796463012695
137,train,6.697055816650391
138,train,6.683579921722412
139,train,6.66736364364624
140,train,6.693804740905762
141,train,6.698177337646484
142,train,6.64179801940918
143,train,6.603118419647217
144,train,6.644298076629639
145,train,6.653018951416016
146,train,6.608419418334961
147,train,6.58847713470459
148,train,6.607722282409668
149,train,6.583433628082275
150,train,6.593841552734375
151,train,6.601813316345215
152,train,6.584995269775391
153,train,6.544917583465576
154,train,6.531142234802246
155,train,6.563830375671387
156,train,6.555963039398193
157,train,6.526298522949219
158,train,6.500119209289551
159,train,6.516852378845215
160,train,6.507301330566406
161,train,6.5083513259887695
162,train,6.488085746765137
163,train,6.488085746765137
164,train,6.454855918884277
165,train,6.4597063064575195
166,train,6.46873664855957
167,train,6.481863975524902
168,train,6.452783584594727
169,train,6.457037925720215
170,train,6.462967395782471
171,train,6.451267242431641
172,train,6.440729141235352
173,train,6.458641052246094
174,train,6.429576873779297
175,train,6.387378215789795
176,train,6.4088921546936035
177,train,6.388908386230469
178,train,6.380466938018799
179,train,6.389244079589844
180,train,6.353047847747803
181,train,6.378999710083008
182,train,6.395846366882324
183,train,6.401295185089111
184,train,6.409065246582031
185,train,6.400558948516846
186,train,6.3562798500061035
187,train,6.347537517547607
188,train,6.353233337402344
189,train,6.379608154296875
