step,split,value
1,train_loss,0.0
1,train_reward,0.0
2,train_loss,0.0
2,train_reward,0.0
3,train_loss,0.0
3,train_reward,0.0
4,train_loss,0.0
4,train_reward,0.0
5,train_loss,0.0
5,train_reward,0.0
6,train_loss,0.0
6,train_reward,0.0
7,train_loss,0.0
7,train_reward,0.0
8,train_loss,0.0
8,train_reward,0.0
9,train_loss,0.0
9,train_reward,0.0
10,train_loss,0.0
10,train_reward,0.0
11,train_loss,0.0
11,train_reward,0.0
12,train_loss,-0.09274764358997345
12,train_reward,0.125
13,train_loss,0.0
13,train_reward,0.0
14,train_loss,0.0
14,train_reward,0.0
15,train_loss,-0.09997325390577316
15,train_reward,0.125
16,train_loss,0.0
16,train_reward,0.0
17,train_loss,0.0
17,train_reward,0.0
18,train_loss,0.0
18,train_reward,0.0
19,train_loss,0.0
19,train_reward,0.0
20,train_loss,0.0
20,train_reward,0.0
21,train_loss,0.0
21,train_reward,0.0
22,train_loss,0.0
22,train_reward,0.0
23,train_loss,0.0
23,train_reward,0.0
24,train_loss,0.09529982507228851
24,train_reward,0.25
25,train_loss,0.0
25,train_reward,0.0
26,train_loss,0.0
26,train_reward,0.0
27,train_loss,0.0
27,train_reward,0.0
28,train_loss,0.0
28,train_reward,0.0
29,train_loss,0.0
29,train_reward,0.0
30,train_loss,0.0
30,train_reward,0.0
31,train_loss,0.0
31,train_reward,0.0
32,train_loss,0.0
32,train_reward,0.0
33,train_loss,0.0
33,train_reward,0.0
34,train_loss,0.0
34,train_reward,0.0
35,train_loss,0.0
35,train_reward,0.0
36,train_loss,0.0
36,train_reward,0.0
37,train_loss,0.0
37,train_reward,0.0
38,train_loss,-0.15861573815345764
38,train_reward,0.125
39,train_loss,0.0
39,train_reward,0.0
40,train_loss,0.0
40,train_reward,0.0
41,train_loss,0.0
41,train_reward,0.0
42,train_loss,0.0
42,train_reward,0.0
43,train_loss,0.0
43,train_reward,0.0
44,train_loss,0.0
44,train_reward,0.0
45,train_loss,0.0
45,train_reward,0.0
46,train_loss,0.0
46,train_reward,0.0
47,train_loss,0.0
47,train_reward,0.0
48,train_loss,0.0
48,train_reward,0.0
49,train_loss,0.0
49,train_reward,0.0
50,train_loss,0.0
50,train_reward,0.0
