step,split,value
1,train,2.451129913330078
2,train,2.356020927429199
3,train,2.353936195373535
4,train,2.4214847087860107
5,train,2.3987464904785156
6,train,2.253554105758667
7,train,2.326345920562744
8,train,2.3424129486083984
9,train,2.306267738342285
10,train,2.4050350189208984
11,train,2.293950319290161
12,train,2.227996826171875
13,train,2.3450558185577393
14,train,2.2069804668426514
15,train,2.285191059112549
16,train,2.175598382949829
17,train,2.1500117778778076
18,train,2.224656343460083
19,train,2.2109949588775635
20,train,2.0767290592193604
21,train,2.198131799697876
22,train,2.1493752002716064
23,train,2.1175742149353027
24,train,2.3339080810546875
25,train,2.1085782051086426
26,train,2.2457833290100098
27,train,2.1951563358306885
28,train,2.0676937103271484
29,train,2.058014392852783
30,train,2.1704277992248535
31,train,2.124673366546631
32,train,2.1507413387298584
33,train,2.0920772552490234
34,train,2.0990757942199707
35,train,2.138967514038086
36,train,2.174208879470825
37,train,2.0956273078918457
38,train,2.094971179962158
39,train,2.1795451641082764
40,train,2.0818397998809814
41,train,2.064236879348755
42,train,2.0994150638580322
43,train,2.081260919570923
44,train,2.0828285217285156
45,train,2.0780601501464844
46,train,2.084228754043579
47,train,2.0915770530700684
48,train,1.9933058023452759
49,train,2.1614983081817627
50,train,1.9984850883483887
50,val,2.031050443649292
51,train,2.0038399696350098
52,train,2.1034059524536133
53,train,2.0218191146850586
54,train,2.013551950454712
55,train,1.9600026607513428
56,train,2.083653450012207
57,train,1.8647146224975586
58,train,1.9846068620681763
59,train,2.0288100242614746
60,train,1.9905157089233398
61,train,1.8864550590515137
62,train,1.9989194869995117
63,train,2.0668270587921143
64,train,1.9716567993164062
65,train,2.02158784866333
66,train,1.9319905042648315
67,train,2.0713119506835938
68,train,2.072144031524658
69,train,1.9268555641174316
70,train,1.9361470937728882
71,train,2.0085768699645996
72,train,1.923220157623291
73,train,1.9007433652877808
74,train,2.0379912853240967
75,train,1.8629964590072632
76,train,1.9695647954940796
77,train,1.904694676399231
78,train,1.8729439973831177
79,train,1.9786940813064575
80,train,2.111642360687256
81,train,2.0438477993011475
82,train,2.0280399322509766
83,train,1.9358407258987427
84,train,1.985953450202942
85,train,2.001673460006714
86,train,1.8509272336959839
87,train,2.015855550765991
88,train,1.7885886430740356
89,train,1.876783013343811
90,train,1.951683521270752
91,train,1.9087316989898682
92,train,2.0393264293670654
93,train,1.9580011367797852
94,train,1.8996434211730957
95,train,1.902747392654419
96,train,1.9225189685821533
97,train,1.949788212776184
98,train,1.8956297636032104
99,train,1.9953306913375854
100,train,1.8960639238357544
100,val,1.9272252321243286
101,train,2.0059871673583984
102,train,1.8996872901916504
103,train,1.9313843250274658
104,train,1.9648330211639404
105,train,1.9890367984771729
106,train,1.9402912855148315
107,train,1.8276597261428833
108,train,1.8266701698303223
109,train,1.8578969240188599
110,train,1.9479646682739258
111,train,1.93533456325531
112,train,2.061892509460449
113,train,1.9521061182022095
114,train,1.961456537246704
115,train,1.8802318572998047
116,train,1.9716840982437134
117,train,1.855437994003296
118,train,1.9883854389190674
119,train,1.9023669958114624
120,train,1.947218418121338
121,train,1.9052976369857788
122,train,1.910738468170166
123,train,1.9072843790054321
124,train,1.855015516281128
125,train,1.8465524911880493
126,train,1.8992130756378174
127,train,1.863676905632019
128,train,1.959448218345642
129,train,1.9606482982635498
130,train,1.9264802932739258
131,train,1.8320364952087402
132,train,1.8398000001907349
133,train,1.8100191354751587
134,train,1.9178576469421387
135,train,1.7938075065612793
136,train,1.8475117683410645
137,train,1.7912859916687012
138,train,1.9046355485916138
139,train,1.8605399131774902
140,train,1.820978045463562
141,train,1.8464381694793701
142,train,1.916883945465088
143,train,1.8166205883026123
144,train,1.907149076461792
145,train,1.915371298789978
146,train,1.8851356506347656
147,train,1.8641068935394287
148,train,1.8802247047424316
149,train,1.8572132587432861
150,train,1.9160305261611938
150,val,1.873426914215088
151,train,1.832364797592163
152,train,1.9232358932495117
153,train,1.8807322978973389
154,train,1.8687782287597656
155,train,1.9262524843215942
156,train,1.8137593269348145
157,train,1.9250746965408325
158,train,1.8731791973114014
159,train,1.9675874710083008
160,train,1.9148080348968506
161,train,1.9072279930114746
162,train,1.8099822998046875
163,train,1.8910703659057617
164,train,1.912412166595459
165,train,1.8075251579284668
166,train,1.837814211845398
167,train,1.8023734092712402
168,train,1.8123352527618408
169,train,1.9039580821990967
170,train,1.819623351097107
171,train,1.8598737716674805
172,train,1.929945707321167
173,train,1.9085832834243774
174,train,1.9216307401657104
175,train,1.9054765701293945
176,train,1.9301930665969849
177,train,1.9519842863082886
178,train,1.7985451221466064
179,train,1.8586746454238892
180,train,1.7345194816589355
181,train,1.9025280475616455
182,train,1.7510812282562256
183,train,1.8451354503631592
184,train,1.8322921991348267
185,train,1.9392911195755005
186,train,1.9146215915679932
187,train,1.8625564575195312
188,train,1.819250464439392
189,train,1.8175601959228516
190,train,1.8370929956436157
191,train,1.9561816453933716
192,train,1.8194624185562134
193,train,1.7870781421661377
194,train,1.7807551622390747
195,train,1.8977539539337158
196,train,1.8377944231033325
197,train,1.7646963596343994
198,train,1.7968153953552246
199,train,1.8773137331008911
200,train,1.8248927593231201
200,val,1.832334280014038
201,train,1.8118135929107666
202,train,1.9064427614212036
203,train,1.8683151006698608
204,train,1.8684639930725098
205,train,1.7951977252960205
206,train,1.8143776655197144
207,train,1.8843613862991333
208,train,1.846038818359375
209,train,1.8448410034179688
210,train,1.744621992111206
211,train,1.8485671281814575
212,train,1.8268171548843384
213,train,1.7956130504608154
214,train,1.8369660377502441
215,train,1.7901179790496826
216,train,1.9040004014968872
217,train,1.8489876985549927
218,train,1.718206524848938
219,train,1.852563500404358
220,train,1.8529738187789917
221,train,1.7983371019363403
222,train,1.8682053089141846
223,train,1.8602468967437744
224,train,1.706116795539856
225,train,1.7777074575424194
226,train,1.7383091449737549
227,train,1.8148540258407593
228,train,1.8307280540466309
229,train,1.8292847871780396
230,train,1.828061819076538
231,train,1.7076082229614258
232,train,1.8816319704055786
233,train,1.7598780393600464
234,train,1.7602295875549316
235,train,1.78110933303833
236,train,1.824446439743042
237,train,1.70319664478302
238,train,1.7320011854171753
239,train,1.718044400215149
240,train,1.7099090814590454
241,train,1.8449984788894653
242,train,1.7282284498214722
243,train,1.7378933429718018
244,train,1.849441409111023
245,train,1.8965532779693604
246,train,1.7434251308441162
247,train,1.857217788696289
248,train,1.793227195739746
249,train,1.9099721908569336
250,train,1.806586742401123
250,val,1.8060345649719238
251,train,1.7422600984573364
252,train,1.7783761024475098
253,train,1.7997814416885376
254,train,1.904232382774353
255,train,1.7412575483322144
256,train,1.8463577032089233
257,train,1.8362977504730225
258,train,1.8626372814178467
259,train,1.8179935216903687
260,train,1.7509541511535645
261,train,1.8492529392242432
262,train,1.7881371974945068
263,train,1.7711143493652344
264,train,1.8732084035873413
265,train,1.8238098621368408
266,train,1.7757095098495483
267,train,1.7691564559936523
